"","State_UTs_Code","District_Code","CD_Block_Code","Town_Village_Code","Ward_Code","EB_Code","State_UTs_Name","District_Name","Level","Name","Total_Rural_Urban","No_of_Households","Total_Population_Person","Total_Population_Male","Total_Population_Female","Population_in_the_age_group_0_6_Person","Population_in_the_age_group_0_6_Male","Population_in_the_age_group_0_6_Female","Scheduled_Castes_population_Person","Scheduled_Castes_population_Male","Scheduled_Castes_population_Female","Scheduled_Tribes_population_Person","Scheduled_Tribes_population_Male","Scheduled_Tribes_population_Female","Literates_Population_Person","Literates_Population_Male","Literates_Population_Female","Illiterate_Persons","Illiterate_Male","Illiterate_Female","Total_Worker_Population_Person","Total_Worker_Population_Male","Total_Worker_Population_Female","Main_Working_Population_Person","Main_Working_Population_Male","Main_Working_Population_Female","Main_Cultivator_Population_Person","Main_Cultivator_Population_Male","Main_Cultivator_Population_Female","Main_Agricultural_Labourers_Population_Person","Main_Agricultural_Labourers_Population_Male","Main_Agricultural_Labourers_Population_Female","Main_Household_Industries_Population_Person","Main_Household_Industries_Population_Male","Main_Household_Industries_Population_Female","Main_Other_Workers_Population_Person","Main_Other_Workers_Population_Male","Main_Other_Workers_Population_Female","Marginal_Worker_Population_Person","Marginal_Worker_Population_Male","Marginal_Worker_Population_Female","Marginal_Cultivator_Population_Person","Marginal_Cultivator_Population_Male","Marginal_Cultivator_Population_Female","Marginal_Agriculture_Labourers_Population_Person","Marginal_Agriculture_Labourers_Population_Male","Marginal_Agriculture_Labourers_Population_Female","Marginal_Household_Industries_Population_Person","Marginal_Household_Industries_Population_Male","Marginal_Household_Industries_Population_Female","Marginal_Other_Workers_Population_Person","Marginal_Other_Workers_Population_Male","Marginal_Other_Workers_Population_Female","Marginal_Worker_Population_3_6_Person","Marginal_Worker_Population_3_6_Male","Marginal_Worker_Population_3_6_Female","Marginal_Cultivator_Population_3_6_Person","Marginal_Cultivator_Population_3_6_Male","Marginal_Cultivator_Population_3_6_Female","Marginal_Agriculture_Labourers_Population_3_6_Person","Marginal_Agriculture_Labourers_Population_3_6_Male","Marginal_Agriculture_Labourers_Population_3_6_Female","Marginal_Household_Industries_Population_3_6_Person","Marginal_Household_Industries_Population_3_6_Male","Marginal_Household_Industries_Population_3_6_Female","Marginal_Other_Workers_Population_Person_3_6_Person","Marginal_Other_Workers_Population_Person_3_6_Male","Marginal_Other_Workers_Population_Person_3_6_Female","Marginal_Worker_Population_0_3_Person","Marginal_Worker_Population_0_3_Male","Marginal_Worker_Population_0_3_Female","Marginal_Cultivator_Population_0_3_Person","Marginal_Cultivator_Population_0_3_Male","Marginal_Cultivator_Population_0_3_Female","Marginal_Agriculture_Labourers_Population_0_3_Person","Marginal_Agriculture_Labourers_Population_0_3_Male","Marginal_Agriculture_Labourers_Population_0_3_Female","Marginal_Household_Industries_Population_0_3_Person","Marginal_Household_Industries_Population_0_3_Male","Marginal_Household_Industries_Population_0_3_Female","Marginal_Other_Workers_Population_0_3_Person","Marginal_Other_Workers_Population_0_3_Male","Marginal_Other_Workers_Population_0_3_Female","Non_Working_Population_Person","Non_Working_Population_Male","Non_Working_Population_Female"
"21",32,598,109,0,0,0,"KERALA","Alappuzha","CD BLOCK","Pattanakkad","Rural",19804,80918,39607,41311,6993,3673,3320,6848,3293,3555,272,128,144,70495,34877,35618,10423,4730,5693,38746,23308,15438,29923,19759,10164,552,425,127,731,483,248,1890,828,1062,26750,18023,8727,8823,3549,5274,202,123,79,353,163,190,797,177,620,7471,3086,4385,7136,3008,4128,160,98,62,274,114,160,580,144,436,6122,2652,3470,1687,541,1146,42,25,17,79,49,30,217,33,184,1349,434,915,42172,16299,25873
"22",32,598,109,0,0,0,"KERALA","Alappuzha","CD BLOCK","Pattanakkad","Urban",33110,136510,66771,69739,12057,6145,5912,17265,8429,8836,541,255,286,118128,59000,59128,18382,7771,10611,59280,38898,20382,45852,32914,12938,202,175,27,555,401,154,1877,899,978,43218,31439,11779,13428,5984,7444,130,87,43,560,236,324,583,169,414,12155,5492,6663,10491,5139,5352,116,76,40,312,160,152,475,141,334,9588,4762,4826,2937,845,2092,14,11,3,248,76,172,108,28,80,2567,730,1837,77230,27873,49357
"23",32,598,109,628208,0,0,"KERALA","Alappuzha","VILLAGE","Thuravoor Thekku","Rural",6966,28802,13915,14887,2533,1289,1244,4049,1933,2116,36,13,23,24876,12222,12654,3926,1693,2233,13494,8372,5122,10331,7094,3237,188,143,45,235,160,75,471,176,295,9437,6615,2822,3163,1278,1885,60,33,27,195,74,121,125,37,88,2783,1134,1649,2576,1121,1455,53,29,24,167,55,112,96,34,62,2260,1003,1257,587,157,430,7,4,3,28,19,9,29,3,26,523,131,392,15308,5543,9765
"24",32,598,109,628209,0,0,"KERALA","Alappuzha","VILLAGE","Pattanakkad","Rural",7744,31629,15550,16079,2703,1443,1260,1929,940,989,183,90,93,27524,13652,13872,4105,1898,2207,15038,8958,6080,12105,7707,4398,180,132,48,325,195,130,796,364,432,10804,7016,3788,2933,1251,1682,66,42,24,86,51,35,204,35,169,2577,1123,1454,2384,1035,1349,58,37,21,63,36,27,120,22,98,2143,940,1203,549,216,333,8,5,3,23,15,8,84,13,71,434,183,251,16591,6592,9999
"25",32,598,109,628210,0,0,"KERALA","Alappuzha","VILLAGE","Kadakkarappally","Rural",5094,20487,10142,10345,1757,941,816,870,420,450,53,25,28,18095,9003,9092,2392,1139,1253,10214,5978,4236,7487,4958,2529,184,150,34,171,128,43,623,288,335,6509,4392,2117,2727,1020,1707,76,48,28,72,38,34,468,105,363,2111,829,1282,2176,852,1324,49,32,17,44,23,21,364,88,276,1719,709,1010,551,168,383,27,16,11,28,15,13,104,17,87,392,120,272,10273,4164,6109
"26",32,598,109,628215,0,0,"KERALA","Alappuzha","TOWN","Aroor (CT)","Urban",9449,39214,19431,19783,3617,1876,1741,4378,2156,2222,184,94,90,34104,17203,16901,5110,2228,2882,16337,11343,4994,13445,10203,3242,34,31,3,77,67,10,324,234,90,13010,9871,3139,2892,1140,1752,24,11,13,97,28,69,65,24,41,2706,1077,1629,2005,900,1105,23,10,13,52,23,29,42,19,23,1888,848,1040,887,240,647,1,1,0,45,5,40,23,5,18,818,229,589,22877,8088,14789
"27",32,598,109,628216,0,0,"KERALA","Alappuzha","TOWN","Ezhupunna (CT)","Urban",6686,27528,13478,14050,2467,1259,1208,4964,2434,2530,96,38,58,23545,11841,11704,3983,1637,2346,11454,7785,3669,8401,6279,2122,27,21,6,98,80,18,112,64,48,8164,6114,2050,3053,1506,1547,52,40,12,81,30,51,33,13,20,2887,1423,1464,2501,1321,1180,50,38,12,67,24,43,27,11,16,2357,1248,1109,552,185,367,2,2,0,14,6,8,6,2,4,530,175,355,16074,5693,10381
"28",32,598,109,628217,0,0,"KERALA","Alappuzha","TOWN","Kodamthuruth (CT)","Urban",5130,21295,10365,10930,1828,898,930,3708,1792,1916,77,38,39,18385,9207,9178,2910,1158,1752,9322,6011,3311,6877,5003,1874,45,37,8,138,80,58,122,83,39,6572,4803,1769,2445,1008,1437,9,4,5,83,26,57,76,22,54,2277,956,1321,1865,861,1004,9,4,5,50,20,30,56,18,38,1750,819,931,580,147,433,0,0,0,33,6,27,20,4,16,527,137,390,11973,4354,7619
"29",32,598,109,628219,0,0,"KERALA","Alappuzha","TOWN","Kuthiathode (CT)","Urban",5677,23669,11483,12186,2168,1089,1079,1855,903,952,99,47,52,20083,9966,10117,3586,1517,2069,10195,6785,3410,7366,5492,1874,33,30,3,79,51,28,212,150,62,7042,5261,1781,2829,1293,1536,14,9,5,82,37,45,139,31,108,2594,1216,1378,2267,1164,1103,14,9,5,54,29,25,100,21,79,2099,1105,994,562,129,433,0,0,0,28,8,20,39,10,29,495,111,384,13474,4698,8776
"30",32,598,109,628220,0,0,"KERALA","Alappuzha","TOWN","Vayalar (CT)","Urban",6168,24804,12014,12790,1977,1023,954,2360,1144,1216,85,38,47,22011,10783,11228,2793,1231,1562,11972,6974,4998,9763,5937,3826,63,56,7,163,123,40,1107,368,739,8430,5390,3040,2209,1037,1172,31,23,8,217,115,102,270,79,191,1691,820,871,1853,893,960,20,15,5,89,64,25,250,72,178,1494,742,752,356,144,212,11,8,3,128,51,77,20,7,13,197,78,119,12832,5040,7792
"31",32,598,110,0,0,0,"KERALA","Alappuzha","CD BLOCK","Kanjikkuzhi","Total",42073,169538,82852,86686,14802,7669,7133,8724,4243,4481,964,455,509,148939,73515,75424,20599,9337,11262,80578,48105,32473,60652,40179,20473,1099,813,286,1355,913,442,5292,2324,2968,52906,36129,16777,19926,7926,12000,427,245,182,888,372,516,2207,356,1851,16404,6953,9451,16336,6740,9596,356,196,160,650,295,355,1753,282,1471,13577,5967,7610,3590,1186,2404,71,49,22,238,77,161,454,74,380,2827,986,1841,88960,34747,54213
"32",32,598,110,0,0,0,"KERALA","Alappuzha","CD BLOCK","Kanjikkuzhi","Rural",17499,71424,35040,36384,6528,3373,3155,4060,1977,2083,481,219,262,62252,30782,31470,9172,4258,4914,33366,20386,12980,24735,17190,7545,761,553,208,603,408,195,1439,606,833,21932,15623,6309,8631,3196,5435,266,146,120,524,193,331,965,128,837,6876,2729,4147,7043,2706,4337,213,112,101,394,150,244,804,112,692,5632,2332,3300,1588,490,1098,53,34,19,130,43,87,161,16,145,1244,397,847,38058,14654,23404
"33",32,598,110,0,0,0,"KERALA","Alappuzha","CD BLOCK","Kanjikkuzhi","Urban",24574,98114,47812,50302,8274,4296,3978,4664,2266,2398,483,236,247,86687,42733,43954,11427,5079,6348,47212,27719,19493,35917,22989,12928,338,260,78,752,505,247,3853,1718,2135,30974,20506,10468,11295,4730,6565,161,99,62,364,179,185,1242,228,1014,9528,4224,5304,9293,4034,5259,143,84,59,256,145,111,949,170,779,7945,3635,4310,2002,696,1306,18,15,3,108,34,74,293,58,235,1583,589,994,50902,20093,30809
"34",32,598,110,628211,0,0,"KERALA","Alappuzha","VILLAGE","Cherthala North (Part)","Rural",3450,13945,6860,7085,1319,684,635,847,417,430,90,40,50,11823,5883,5940,2122,977,1145,7001,4054,2947,5798,3684,2114,81,68,13,118,90,28,445,99,346,5154,3427,1727,1203,370,833,42,21,21,73,33,40,189,16,173,899,300,599,1066,317,749,35,15,20,64,27,37,172,13,159,795,262,533,137,53,84,7,6,1,9,6,3,17,3,14,104,38,66,6944,2806,4138
